FishingEntityID,FishingEntityName
1,Albania
2,Algeria
3,American Samoa
4,Angola
151,Anguilla (UK)
5,Antigua & Barbuda
6,Argentina
120,Aruba (Netherlands)
219,Ascension Isl. (UK)
7,Australia
218,Azores Isl. (Portugal)
8,Bahamas
9,Bahrain
10,Bangladesh
11,Barbados
12,Belgium
16,Belize
45,Benin
13,Bermuda (UK)
222,Bonaire (Netherlands)
14,Bosnia & Herzegovina
15,Brazil
17,Brit. Indian Ocean Terr. (UK)
19,British Virgin Isl. (UK)
20,Brunei Darussalam
21,Bulgaria
89,C_te d'Ivoire
24,Cambodia
25,Cameroon
26,Canada
27,Cape Verde
28,Cayman Isl. (UK)
184,Channel Isl. (UK)
30,Chile
31,China
33,Christmas Isl. (Australia)
34,Cocos (Keeling) Isl. (Australia))
35,Colombia
36,Comoros
39,Congo (ex-Zaire)
38,"Congo, R. of"
40,Cook Islands
41,Costa Rica
42,Croatia
43,Cuba
214,Curacao
46,Denmark
61,Djibouti
47,Dominica
48,Dominican Republic
49,Ecuador
182,Egypt
50,El Salvador
51,Equatorial Guinea
23,Eritrea
53,Estonia
54,Faeroe Isl. (Denmark)
55,Falkland Isl. (UK)
56,Fiji
57,Finland
58,France
59,French Guiana
60,French Polynesia
62,Gabon
64,Gambia
65,Gaza Strip
63,Georgia
66,Germany
67,Ghana
70,Greece
71,Greenland
72,Grenada
73,Guadeloupe  (France)
74,Guam (USA)
75,Guatemala
76,Guinea
142,Guinea-Bissau
77,Guyana
78,Haiti
79,Honduras
80,Hong Kong
81,Iceland
82,India
83,Indonesia
84,Iran
85,Iraq
86,Ireland
87,Israel
88,Italy
90,Jamaica
91,Japan
216,Johnston Atoll (USA)
92,Jordan
93,Kenya
196,Kerguelen Isl. (France)
69,Kiribati
94,Korea (North)
95,Korea (South)
96,Kuwait
98,Latvia
97,Lebanon
99,Liberia
100,Libya
101,Lithuania
103,Madagascar
217,Madeira Isl. (Portugal)
104,Malaysia
105,Maldives
106,Malta
132,Marshall Isl.
107,Martinique (France)
108,Mauritania
109,Mauritius
37,Mayotte (France)
110,Mexico
131,Micronesia
194,Montenegro
112,Montserrat (UK)
113,Morocco
114,Mozambique
22,Myanmar
116,Namibia
117,Nauru
118,Netherlands
121,New Caledonia (France)
123,New Zealand
124,Nicaragua
125,Nigeria
126,Niue (New Zealand)
127,Norfolk Isl. (Australia)
207,Cyprus
129,North Marianas (USA)
128,Norway
115,Oman
223,Others
134,Pakistan
133,Palau
135,Panama
136,Papua New Guinea
137,Peru
138,Philippines
139,Pitcairn (UK)
140,Poland
141,Portugal
144,Puerto Rico (USA)
145,Qatar
146,R_union (France)
147,Romania
148,Russian Federation
221,Saba and Saint Eustaius (Netherlands)
149,Saint Helena (UK)
150,Saint Kitts & Nevis
152,Saint Lucia
154,Saint Vincent & the Grenadines
192,Samoa
155,Sao Tome & Principe
156,Saudi Arabia
157,Senegal
158,Seychelles
159,Sierra Leone
160,Singapore
215,Sint Maarten
162,Slovenia
18,Solomon Isl.
163,Somalia
164,South Africa
208,Cyprus
165,Spain
29,Sri Lanka
209,St Barthelemy (France)
210,St Martin
153,St Pierre & Miquelon (Fr.)
167,Sudan
168,Suriname
199,Svalbard Isl. (Norway)
169,Sweden
170,Syrian Arab Republic
32,Taiwan
186,Tanzania
171,Thailand
143,Timor Leste
172,Togo
173,Tokelau (New Zealand)
174,Tonga
175,Trinidad & Tobago
220,Tristan da Cunha Isl. (UK)
177,Tunisia
178,Turkey
179,Turks & Caicos Isl. (UK)
180,Tuvalu
181,Ukraine
176,United Arab Emirates
183,United Kingdom
213,Unknown Fishing Country
189,Uruguay
188,US Virgin Isl.
187,USA
122,Vanuatu
190,Venezuela
161,Viet Nam
191,Wallis & Futuna Isl. (France)
166,Western Sahara (Morocco)
193,Yemen
