FishingEntityID,FishingEntityName,Country.or.Area
1,Albania,Albania
2,Algeria,Algeria
3,American Samoa,American Samoa
4,Angola,Angola
5,Antigua & Barbuda,Antigua and Barbuda
6,Argentina,Argentina
7,Australia,Australia
8,Bahamas,Bahamas
9,Bahrain,Bahrain
10,Bangladesh,Bangladesh
11,Barbados,Barbados
12,Belgium,Belgium
13,Bermuda (UK),Bermuda
14,Bosnia & Herzegovina,Bosnia and Herzegovina
15,Brazil,Brazil
16,Belize,Belize
17,Brit. Indian Ocean Terr. (UK),British_Indian_Ocean_Territory
18,Solomon Isl.,Solomon Islands
19,British Virgin Isl. (UK),British_Virgin_Islands
20,Brunei Darussalam,Brunei Darussalam
21,Bulgaria,Bulgaria
22,Myanmar,Myanmar
23,Eritrea,Eritrea
24,Cambodia,Cambodia
25,Cameroon,Cameroon
26,Canada,Canada
27,Cape Verde,Cabo Verde
28,Cayman Isl. (UK),Cayman_Islands
29,Sri Lanka,Sri Lanka
30,Chile,Chile
31,China,China
32,Taiwan,Taiwan
33,Christmas Isl. (Australia),Christmas_Island
34,Cocos (Keeling) Isl. (Australia)),Cocos_(Keeling)_Islands
35,Colombia,Colombia
36,Comoros,Comoros
37,Mayotte (France),Mayotte
38,"Congo, R. of",Democratic_Republic_of_the_Congo
39,Congo (ex-Zaire),Congo
40,Cook Islands,Cook Islands
41,Costa Rica,Costa Rica
42,Croatia,Croatia
43,Cuba,Cuba
45,Benin,Benin
46,Denmark,Denmark
47,Dominica,Dominica
48,Dominican Republic,Dominican Republic
49,Ecuador,Ecuador
50,El Salvador,El Salvador
51,Equatorial Guinea,Equatorial Guinea
53,Estonia,Estonia
54,Faeroe Isl. (Denmark),Faroe_Islands
55,Falkland Isl. (UK),Falkland_Islands_(Malvinas)
56,Fiji,Fiji
57,Finland,Finland
58,France,France
59,French Guiana,French Guiana
60,French Polynesia,French Polynesia
61,Djibouti,Djibouti
62,Gabon,Gabon
63,Georgia,Georgia
64,Gambia,Gambia
65,Gaza Strip,Gaza Strip
66,Germany,Germany
67,Ghana,Ghana
69,Kiribati,Kiribati
70,Greece,Greece
71,Greenland,Greenland
72,Grenada,Grenada
73,Guadeloupe  (France),Guadeloupe
74,Guam (USA),Guam
