TaxonKey,TaxonName,CommonName
100025,Miscellaneous diadromous fishes,Diadromous fishes nei
100039,Marine fishes not identified,Marine fishes nei
100047,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei"
100077,Miscellaneous aquatic invertebrates,Aquatic invertebrates
100081,Pearls or mother-of-pearl and shells,"Pearl, mother-of-pearl shells"
100139,Marine finfishes not identified,Finfishes
100239,Marine groundfishes not identified,Groundfishes
100339,Marine pelagic fishes not identified,Pelagic fishes
190023,Ctenophora,Comb jellies
190195,Mollusca,"Clams, seasnails, squids, octopuses"
190196,Cnidaria,"Cnidarians, coelenterates"
190277,Echinodermata,"Sea urchins, stars, cucumbers"
200003,Holocephali,"Chimaeras, rat/rabbitfishes"
200004,Elasmobranchii,"Sharks, rays, skates"
200538,Chondrichthyes,"Sharks, rays, chimaeras"
290002,Cephalopoda,"Squids, cuttlefishes, octopuses"
290004,Bivalvia,Clams
290005,Ascidiacea,Sea squirts
290006,Gastropoda,Sea snails
290011,Echinoidea,"Sea urchins, sea hedgehogs"
290013,Scyphozoa,True jellyfishes
290022,Malacostraca,"Lobsters, crabs, shrimps, krill"
290044,Merostomata,Chelicerates
290056,Pteriomorphia,"Clams, cockles, arkshells"
290176,Asterozoa,Starfishes and brittlestars
290276,Echinozoa,Sea urchins and sea cucumbers
300003,Chimaeriformes,Chimaeras
300007,Lamniformes,Mackerel sharks
300008,Carcharhiniformes,Ground sharks
300009,Squaliformes,"Bramble, sleeper, dogfish sharks"
300014,Rajiformes,Skates and rays
300021,Sturgeons and paddlefishes,"Sturgeons, paddlefishes"
300026,Anguilliformes,"Eels, morays"
300028,Clupeiformes,"Herrings, shads, anchovies"
300031,Pleuronectoidei,"Flounders, halibuts, soles, turbots"
300032,Siluriformes,Catfishes
300036,Scombroidea,"Tunas, bonitos, billfishes"
300044,Gadiformes,Cods
300059,Scorpaeniformes,"Scorpionfishes, flatheads"
300060,Perciformes,Perch-likes
300061,Pleuronectiformes,Flatfishes
300063,Batoidea,"Batoids, skates, rays, sawfishes"
390002,Teuthida,Squids
